"company_name_storage","company_id_storage","company_type_storage","naics_code_storage","naics_code_description_storage","chemical_name_storage","hazardous_ingredient_storage","average_amount_storage","maximum_amount_storage","storage_method_storage","hazardous_class_description_storage","in_storage","key","address"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","FERTILIZER 46-0-0","UREA","1,000-4,999","5,000-9,999","BAG","Reactive Material",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","LIMESTONE","CALCIUM CARBONATE","10,000-49,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","FERTILIZER 25-0-12 SCOTTS PROFESSIONAL","UREA","10,000-49,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","FERTILIZER 11-2-2 SCOTTS NATURAL","NONE LISTED ON MSDS","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","ORTHO WEED B GON PRO SOUTHERN","DIMETHYLAMINE SALT OF MCPA","200-499","500-999","TOTEBIN","Acute Health Hazard",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","TALSTAR XTRA VERGE GRANULAR INSECTICIDE","BIFENTHRIN","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"SCOTTS LAWNSERVICE",99276,"PROFESSIONAL LAWN CARE",561730,"LANDSCAPING SVCS","FERTILIZER 17-0-5","UREA","1,000-4,999","5,000-9,999","TANK INSIDE BUILDING","Acute Health Hazard",1,"onsite_storage_99276","13565 SW TUALATIN SHRWD BLVD, SHERWOOD, OR 97140"
"CASCADE WINDOWS",52466,"VINYL WINDOW MFG",326199,"ALL OTHER PLASTICS PRODUCT MFG","HOT MELT ADHESIVE","POLYMER SOLIDS","200-499","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"onsite_storage_52466","10255 SW SPOKANE CT, TUALATIN, OR 97062"
"CASCADE WINDOWS",52466,"VINYL WINDOW MFG",326199,"ALL OTHER PLASTICS PRODUCT MFG","POLYMER ENCAPSULATED DESICCANT","WAX, POLYETHYLENE-POLYPROPYLENE","200-499","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Combustible Material",1,"onsite_storage_52466","10255 SW SPOKANE CT, TUALATIN, OR 97062"
"TIGARD SAND & GRAVEL LLC",8606,"SAND & GRAVEL PIT",212321,"CONST SAND & GRAVEL MINING","LUBRICATING OILS","LUBRICATING BASE OILS","500-999","500-999","ABOVEGROUND TANK","Combustible Material",1,"onsite_storage_8606","21455 SW 120TH, TUALATIN, OR 97062"
"TIGARD SAND & GRAVEL LLC",8606,"SAND & GRAVEL PIT",212321,"CONST SAND & GRAVEL MINING","USED OIL","LUBRCATING OILS USED","500-999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"onsite_storage_8606","21455 SW 120TH, TUALATIN, OR 97062"
"LIEB FOODS LLC",54231,"FOOD PROCESSING",311421,"FRUIT & VEGETABLE CANNING","BRITE TANK","SODIUM CARBONATE","200-499","500-999","FIBER DRUM","Acute Health Hazard",1,"onsite_storage_54231","2550 23RD AVE, FOREST GROVE, OR 97116"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","LIQUID CHLORITE","SODIUM HYPOCHLORITE SOLUTION","1,000-4,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Corrosive Material",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","MURIATIC ACID","HYDROCHLORIC ACID","1,000-4,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Corrosive Material",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","OXONE","POTASSIUM PEROXYMONOSULFATE","1,000-4,999","1,000-4,999","PLASTIC BOTTLE, JUG, BUCKET","Corrosive Material",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","SODIUM BICARBONATE","SODIUM BICARBONATE","10,000-49,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","SODIUM CARBONATE","SODIUM CARBONATE","5,000-9,999","10,000-49,999","BAG","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","SODIUM CHLORIDE","SODIUM CHLORIDE","50,000-99,999","100,000-249,999","BAG","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","SODIUM THIOSULFATE","SODIUM THIOSULFATE","500-999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","CALCIUM CHLORIDE","CALCIUM CHLORIDE","5,000-9,999","10,000-49,999","BAG","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","CALCIUM HYPOCHLORITE","CALCIUM HYPOCHLORITE","10,000-49,999","10,000-49,999","PLASTIC BOTTLE, JUG, BUCKET","Oxidizers",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","BROMINATING TABLETS","2,4-IMIDAZOLIDINEDIONE, 1-BROMO-3-","1,000-4,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","POOL-KRETE","PORTLAND CEMENT","1,000-4,999","5,000-9,999","BAG","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","CEMENT","PORTLAND CEMENT","10,000-49,999","50,000-99,999","BAG","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","CHLORINATING GRANULES","DICHLOROISOCYANURIC ACID","5,000-9,999","10,000-49,999","PLASTIC BOTTLE, JUG, BUCKET","Oxidizers",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","CHLORINATING TABLETS","TRICHLORO-S-TRIAZINETRIONE","5,000-9,999","10,000-49,999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"KELLER SUPPLY COMPANY",54615,"PLUMBING & POOL SUPPLY DISTRIBUTION",423910,"SPORTING & RECREATIONAL GOODS & SUPPLIES W","DIATOMACEOUS EARTH","DIATOMACEOUS EARTH","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_54615","5600 SW 107TH AVE, BEAVERTON, OR 97005"
"MACS RADIATOR & REPAIR",11727,"RADIATOR MUFFLER SHOP",811198,"ALL OTHER AUTOMOTIVE REPAIR & MAINT","LEAD SLUDGE","LEAD","500-999","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"onsite_storage_11727","631 SW BASELINE, HILLSBORO, OR 97123"
"WILLAMETTE LANDSCAPE SERVICES",52253,"LANDSCAPE MAINTENANCE SERVICES",561730,"LANDSCAPING SVCS","FERTILIZER NPK","VARIOUS","5,000-9,999","10,000-49,999","BAG","Acute Health Hazard",1,"onsite_storage_52253","18480 SW PACIFIC DR, TUALATIN, OR 97062"
"WILLAMETTE LANDSCAPE SERVICES",52253,"LANDSCAPE MAINTENANCE SERVICES",561730,"LANDSCAPING SVCS","SEVIN 10 G","CARBARYL","500-999","500-999","DEWAR","Acute Health Hazard",1,"onsite_storage_52253","18480 SW PACIFIC DR, TUALATIN, OR 97062"
"WILLAMETTE LANDSCAPE SERVICES",52253,"LANDSCAPE MAINTENANCE SERVICES",561730,"LANDSCAPING SVCS","CALPRIL","GROUND LIMESTONE (CALCIUM CARBONATE)","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_52253","18480 SW PACIFIC DR, TUALATIN, OR 97062"
"WILLAMETTE LANDSCAPE SERVICES",52253,"LANDSCAPE MAINTENANCE SERVICES",561730,"LANDSCAPING SVCS","CASORON 4G","DICHLOBENIL (2,6-DICHLOROBENZONITRILE)","200-499","1,000-4,999","BAG","Pesticide",1,"onsite_storage_52253","18480 SW PACIFIC DR, TUALATIN, OR 97062"
"USHER PRECISION MANUFACTURING INC",8371,"MFG",332710,"MACHINE SHOPS","SALT","SODIUM CHLORIDE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Acute Health Hazard",1,"onsite_storage_8371","3863 24TH AVE, FOREST GROVE, OR 97116"
"USHER PRECISION MANUFACTURING INC",8371,"MFG",332710,"MACHINE SHOPS","WASTE OIL, WATER AND SLUDGE","OIL","200-499","500-999","TOTEBIN","Flammable and Combustible Liquid",1,"onsite_storage_8371","3863 24TH AVE, FOREST GROVE, OR 97116"
"USHER PRECISION MANUFACTURING INC",8371,"MFG",332710,"MACHINE SHOPS","SODIUM CHLORIDE SOLUTION","SODIUM CHLORIDE","500-999","500-999","TANK INSIDE BUILDING","Acute Health Hazard",1,"onsite_storage_8371","3863 24TH AVE, FOREST GROVE, OR 97116"
"PARKS METAL PRODUCTS INC",8680,"PRECISION SHEET METAL MFG",332322,"SHEET MTL WORK MFG","POWDER COATINGS","TITANIUM DIOXIDE","1,000-4,999","1,000-4,999","BAG","Flammable Solids",1,"onsite_storage_8680","19460 SW SHAW, ALOHA, OR 97078"
"PARTNERS ON DEMAND INC",98581,"COMMERCIAL & DIGITAL PRINTING",323119,"OTHER COMMERCIAL PRINTING","PROCESS INK","NONE LISTED ON MSDS","1,000-4,999","1,000-4,999","CAN","Combustible Material",1,"onsite_storage_98581","13955 SW MILLIKAN WAY 100, BEAVERTON, OR 97005"
"GARRON GROUNDS MAN INC",53206,"LANDSCAPE MAINT & INSTALLATION",561730,"LANDSCAPING SVCS","FERTILIZER 25-4-12 TURF","UREA","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_53206","11277 SW CLAY ST STE D, SHERWOOD, OR 97140"
"GARRON GROUNDS MAN INC",53206,"LANDSCAPE MAINT & INSTALLATION",561730,"LANDSCAPING SVCS","FERTILIZER 14-18-12 PRO PERENNIAL PLUS","POTASSIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_53206","11277 SW CLAY ST STE D, SHERWOOD, OR 97140"
"GARRON GROUNDS MAN INC",53206,"LANDSCAPE MAINT & INSTALLATION",561730,"LANDSCAPING SVCS","FERTILIZER 16-16-16 PRO BALANCE 50","POTASSIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_53206","11277 SW CLAY ST STE D, SHERWOOD, OR 97140"
"GARRON GROUNDS MAN INC",53206,"LANDSCAPE MAINT & INSTALLATION",561730,"LANDSCAPING SVCS","FERTILIZER 21-0-15 TURFGRO","AMMONIUM SULFATE","500-999","500-999","BAG","Acute Health Hazard",1,"onsite_storage_53206","11277 SW CLAY ST STE D, SHERWOOD, OR 97140"
"GARRON GROUNDS MAN INC",53206,"LANDSCAPE MAINT & INSTALLATION",561730,"LANDSCAPING SVCS","FERTILIZER 14-2-5 LANDSCAPERS","POTASSIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_53206","11277 SW CLAY ST STE D, SHERWOOD, OR 97140"
"AMSOIL INC",9496,"SYNTHETIC OIL PRODUCTS WAREHOUSING",493190,"OTHER WAREHOUSING & STORAGE","COLD FLOW IMPROVER (ACF)","1,2,4-TRIMETHYLBENZENE","50-199","500-999","PLASTIC BOTTLE, JUG, BUCKET","Flammable and Combustible Liquid",1,"onsite_storage_9496","16260 SW 72ND AVE, PORTLAND, OR 97224"
"AMSOIL INC",9496,"SYNTHETIC OIL PRODUCTS WAREHOUSING",493190,"OTHER WAREHOUSING & STORAGE","TWO CYCLE INJECTOR MARINE (HPM)","SOLVENT MIXTURE","500-999","1,000-4,999","PLASTIC BOTTLE, JUG, BUCKET","Combustible Material",1,"onsite_storage_9496","16260 SW 72ND AVE, PORTLAND, OR 97224"
"AMSOIL INC",9496,"SYNTHETIC OIL PRODUCTS WAREHOUSING",493190,"OTHER WAREHOUSING & STORAGE","INJECTOR OIL (AIO)","BASE OILS","200-499","1,000-4,999","PLASTIC BOTTLE, JUG, BUCKET","Flammable and Combustible Liquid",1,"onsite_storage_9496","16260 SW 72ND AVE, PORTLAND, OR 97224"
"CHINICK LANDSCAPING & NURSERY",52849,"LANDSCAPE CONTRACTING & NURSERY",561730,"LANDSCAPING SVCS","FERTILIZER 15-15-15","AMMONIUM & CALCIUM PHOSPHATES","200-499","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_52849","21300 NW WEST UNION RD, HILLSBORO, OR 97123"
"CHINICK LANDSCAPING & NURSERY",52849,"LANDSCAPE CONTRACTING & NURSERY",561730,"LANDSCAPING SVCS","DOLOMITE LIME","CALCIUM MAGNESIUM CARBONATE","200-499","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_52849","21300 NW WEST UNION RD, HILLSBORO, OR 97123"
"PACKAGING RESOURCES CO",8723,"FOAM PACKAGING MFR",326199,"ALL OTHER PLASTICS PRODUCT MFG","GLUE HOT MELT","ETHYLENE VINYL ACETATE COPOLYMER","500-999","1,000-4,999","BOX","Combustible Material",1,"onsite_storage_8723","12555 SW TUALATIN SHRWD RD, TUALATIN, OR 97062"
"BOB CARLSON INC",10139,"ROOFING  SHEET METAL & INSULATION",238160,"ROOFING CONTRACTORS","SEALANT GUTTER","TOLUENE","20-49","20-49","OTHER","Poisonous Material",1,"onsite_storage_10139","560 SW MAPLE ST, HILLSBORO, OR 97123"
"HUTTIG BUILDING PRODUCTS",53999,"WHSLE DISTRIBUTOR - LUMBER",423310,"LUMBER, PLYWOOD, MILLWORK, & WOOD PANEL W","VULKEM 116 POLYURETHANE SEALANT","AROMATIC POLYISOCYANATE RESIN","200-499","500-999","BOX","Combustible Material",1,"onsite_storage_53999","8100 SW HUNZIKER RD, TIGARD, OR 97223"
"HUTTIG BUILDING PRODUCTS",53999,"WHSLE DISTRIBUTOR - LUMBER",423310,"LUMBER, PLYWOOD, MILLWORK, & WOOD PANEL W","ASPHALT ROOF COAT","MINERAL SPIRITS","500-999","500-999","BOX","Flammable and Combustible Liquid",1,"onsite_storage_53999","8100 SW HUNZIKER RD, TIGARD, OR 97223"
"HUTTIG BUILDING PRODUCTS",53999,"WHSLE DISTRIBUTOR - LUMBER",423310,"LUMBER, PLYWOOD, MILLWORK, & WOOD PANEL W","TITEBOND PROVANTAGE SUBFLOOR ADHESIVE","METHYL ACETATE","1,000-4,999","10,000-49,999","BOX","Flammable and Combustible Liquid",1,"onsite_storage_53999","8100 SW HUNZIKER RD, TIGARD, OR 97223"
"MILGARD MFG CO",10074,"MFG ALUMINUM & VINYL WINDOWS",326199,"ALL OTHER PLASTICS PRODUCT MFG","BUTYL SEALANT HL5153B","TALC","1,000-4,999","5,000-9,999","STEEL DRUM","Combustible Material",1,"onsite_storage_10074","20789 SW 115TH ST, TUALATIN, OR 97062"
"MILGARD MFG CO",10074,"MFG ALUMINUM & VINYL WINDOWS",326199,"ALL OTHER PLASTICS PRODUCT MFG","BUTYL SEALANT HL5140","CALCIUM CARBONATE","1,000-4,999","5,000-9,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"onsite_storage_10074","20789 SW 115TH ST, TUALATIN, OR 97062"
"TARGET CORPORATION",99023,"RETAIL",452112,"DISCOUNT DEPARTMENT STORES","FERTILIZER NPK","VARIOUS","200-499","500-999","BAG","Acute Health Hazard",1,"onsite_storage_99023","21365 SW BALER WAY, SHERWOOD, OR 97140"
"TARGET CORPORATION",99023,"RETAIL",452112,"DISCOUNT DEPARTMENT STORES","WASTE AEROSOLS","VARIOUS","50-199","500-999","TOTEBIN","Flammable and Combustible Liquid",1,"onsite_storage_99023","21365 SW BALER WAY, SHERWOOD, OR 97140"
"TARGET CORPORATION",99023,"RETAIL",452112,"DISCOUNT DEPARTMENT STORES","WASTE RETAIL PRODUCTS-FLAMMABLE","VARIOUS SOLVENTS","50-199","500-999","TOTEBIN","Flammable and Combustible Liquid",1,"onsite_storage_99023","21365 SW BALER WAY, SHERWOOD, OR 97140"
"PRECISION WIRE COMPONENTS LLC",52947,"MFG GUIDE WIRES FOR MEDICAL INDUSTRY",332999,"ALL OTHER MISC FABRICATED MTL PRODUCT MFG","ECOCOOL","TRIETHANOLAMINE","50-199","50-199","STEEL DRUM","Miscellaneous Hazardous Material",1,"onsite_storage_52947","10230 SW SPOKANE CT, TUALATIN, OR 97062"
"PRECISION WIRE COMPONENTS LLC",52947,"MFG GUIDE WIRES FOR MEDICAL INDUSTRY",332999,"ALL OTHER MISC FABRICATED MTL PRODUCT MFG","IPA 99","ISOPROPYL ALCOHOL","500-999","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"onsite_storage_52947","10230 SW SPOKANE CT, TUALATIN, OR 97062"
"BRIDGEPORT DISTRIBUTION INC",13332,"PUBLIC WHSING",531130,"LESSORS OF MINIWAREHOUSES & SELF-STORAGE U","NICKEL OXIDE","NICKEL OXIDE","500-999","1,000-4,999","BAG","Chronic Health Hazard",1,"onsite_storage_13332","16520 SW 72ND AVE BLDG 7, TIGARD, OR 97224"
"TAPP LABEL CO LLC",7820,"LABEL PRINTING",323110,"COMMERCIAL LITHOGRAPHIC PRINTING","PRINTING INK","COBALT NEODECANOATE 0.5%-1.5%","500-999","1,000-4,999","CAN","Miscellaneous Hazardous Material",1,"onsite_storage_7820","11000 SW 11TH ST STE 400-D, BEAVERTON, OR 97005"
"TAPP LABEL CO LLC",7820,"LABEL PRINTING",323110,"COMMERCIAL LITHOGRAPHIC PRINTING","VARNISH","VM AND P NAPHTHA","1,000-4,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Flammable and Combustible Liquid",1,"onsite_storage_7820","11000 SW 11TH ST STE 400-D, BEAVERTON, OR 97005"
"DMH INC",7651,"DOOR & CABINET MFG",337110,"WOOD KITCHEN CABINET & COUNTERTOP MFG","WASTE ACETONE","ACETONE","200-499","500-999","STEEL DRUM","Flammable and Combustible Liquid",1,"onsite_storage_7651","3802 24TH AVE, FOREST GROVE, OR 97116"
"DMH INC",7651,"DOOR & CABINET MFG",337110,"WOOD KITCHEN CABINET & COUNTERTOP MFG","WASTE LACQUER SLUDGE","ACETONE","1,000-4,999","1,000-4,999","STEEL DRUM","Flammable and Combustible Liquid",1,"onsite_storage_7651","3802 24TH AVE, FOREST GROVE, OR 97116"
"PROBUILD COMPANY LLC",55172,"RETAIL BLDG CTR",444110,"HOME CENTERS","QUIKRETE CONCRETE MIX","PORTLAND CEMENT","10,000-49,999","50,000-99,999","BOX","Acute Health Hazard",1,"onsite_storage_55172","920 ELM ST, FOREST GROVE, OR 97116"
"PROBUILD COMPANY LLC",55172,"RETAIL BLDG CTR",444110,"HOME CENTERS","CEMENTS","PORTLAND CEMENT","1,000-4,999","1,000-4,999","BOX","Acute Health Hazard",1,"onsite_storage_55172","920 ELM ST, FOREST GROVE, OR 97116"
"MILLERS MINI MIX CONCRETE INC",55117,"CONCRETE DELIVERY",444190,"OTHER BLDG MATERIAL DEALERS","PORTLAND CEMENT","PORTLAND CEMENT","10,000-49,999","10,000-49,999","SILO","Acute Health Hazard",1,"onsite_storage_55117","1870 NE BEACON CT, HILLSBORO, OR 97124"
"PARR LUMBER COMPANY",51607,"LUMBER YARD LUMBER RETAIL",444190,"OTHER BLDG MATERIAL DEALERS","MORTAR MIX","SILICON DIOXIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_51607","2134 MAIN ST, FOREST GROVE, OR 97116"
"PARR LUMBER COMPANY",51607,"LUMBER YARD LUMBER RETAIL",444190,"OTHER BLDG MATERIAL DEALERS","PORTLAND CEMENT","PORTLAND CEMENT","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_51607","2134 MAIN ST, FOREST GROVE, OR 97116"
"PARR LUMBER COMPANY",51607,"LUMBER YARD LUMBER RETAIL",444190,"OTHER BLDG MATERIAL DEALERS","SAND TOPPING MIX","SILICON DIOXIDE","1,000-4,999","5,000-9,999","BAG","Acute Health Hazard",1,"onsite_storage_51607","2134 MAIN ST, FOREST GROVE, OR 97116"
"PARR LUMBER COMPANY",51607,"LUMBER YARD LUMBER RETAIL",444190,"OTHER BLDG MATERIAL DEALERS","CEMENT","PORTLAND CEMENT","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_51607","2134 MAIN ST, FOREST GROVE, OR 97116"
"PARR LUMBER COMPANY",51607,"LUMBER YARD LUMBER RETAIL",444190,"OTHER BLDG MATERIAL DEALERS","CEMENT QUICK SET","PARTICULATES NOT OTHERWISE CLASSIFIED","200-499","1,000-4,999","BAG","Acute Health Hazard",1,"onsite_storage_51607","2134 MAIN ST, FOREST GROVE, OR 97116"
"INTEL CORPORATION",6454,"TESTING LABORATORIES AND OFFICE WORK",541380,"TESTING LABORATORIES","HYDRAULIC OIL","BASE LUBRICATING OILS","500-999","500-999","TANK INSIDE BUILDING","Combustible Material",1,"onsite_storage_6454","5200 NE ELAM YOUNG PKWY, HILLSBORO, OR 97124"
"INTEL CORPORATION",6454,"TESTING LABORATORIES AND OFFICE WORK",541380,"TESTING LABORATORIES","MINERAL OIL","MINERAL OIL","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"onsite_storage_6454","5200 NE ELAM YOUNG PKWY, HILLSBORO, OR 97124"
"INTEL CORPORATION",6454,"TESTING LABORATORIES AND OFFICE WORK",541380,"TESTING LABORATORIES","R-134A","1,1,1,2-TETRAFLUOROETHANE","500-999","500-999","CYLINDER","Acute Health Hazard",1,"onsite_storage_6454","5200 NE ELAM YOUNG PKWY, HILLSBORO, OR 97124"
"INTEL CORPORATION",6454,"TESTING LABORATORIES AND OFFICE WORK",541380,"TESTING LABORATORIES","SOLDER BAR-SILVER","TIN","200-499","1,000-4,999","BOX","Acute Health Hazard",1,"onsite_storage_6454","5200 NE ELAM YOUNG PKWY, HILLSBORO, OR 97124"
"INTEL CORPORATION",6454,"TESTING LABORATORIES AND OFFICE WORK",541380,"TESTING LABORATORIES","ICE MELT (0-0-62)","POTASSIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_6454","5200 NE ELAM YOUNG PKWY, HILLSBORO, OR 97124"
"DENLEY INC",7276,"HIDES - NO RENDERING",424590,"OTHER FARM PRODUCT RAW MATERIAL WHSLE","SALT","SODIUM CHLORIDE","5,000-9,999","10,000-49,999","OTHER","Acute Health Hazard",1,"onsite_storage_7276","21190 NE OREGON ST, SHERWOOD, OR 97140"
"ACUMED INC",49417,"MEDICAL IMPLANT & INSTRUMENT MFG",339112,"SURGICAL & MEDICAL INSTRUMENT MFG","PLASTIC FINISHING MEDIA","STYRENE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"onsite_storage_49417","5885 NW CORNELIUS PASS RD, HILLSBORO, OR 97124"
"KUNI BMW",99517,"NEW CAR DEALERSHIP",441110,"NEW CAR DEALERS","TRANSMISSION FLUID","HIGHLY REFINED MINERAL OIL (C15-C50)","200-499","500-999","TANK INSIDE BUILDING","Combustible Material",1,"onsite_storage_99517","10999 SW CANYON RD, BEAVERTON, OR 97005"
"RESERS FINE FOODS INC",7404,"FOOD PROCESSING",311612,"MEAT PROCESSED FROM CARCASSES","SULFURIC ACID","SULFURIC ACID","200-499","200-499","ABOVEGROUND TANK","Reactive Material",1,"onsite_storage_7404","11150 SW ALLEN BLVD, BEAVERTON, OR 97005"
"LGINTERNATIONAL",7883,"COMMERCIAL PRINTING",323112,"COMMERCIAL FLEXOGRAPHIC PRINTING","INK FLEXO (WATER BASE)","AQUA AMMONIA","500-999","500-999","PLASTIC BOTTLE, JUG, BUCKET","Miscellaneous Hazardous Material",1,"onsite_storage_7883","6700 SW BRADBURY CT, PORTLAND, OR 97224"
"RELIABLE TRANSMISSION",13750,"TRANSMISSION SHOP",811113,"AUTOMOTIVE TRANSMISSION REPAIR","WASTE TRANSMISSION FLUID","MINERAL OIL","200-499","500-999","TANK INSIDE BUILDING","Combustible Material",1,"onsite_storage_13750","144 SE OAK ST, HILLSBORO, OR 97123"
"OREGON HOLIDAY PRODUCTS LLC",74492,"SEASONAL CHRISTMAS PRODUCT CINNAMON SCENTED PINE CONES",339999,"ALL OTHER MISC MFG","CINNAMON FRAGRANCE","NONE LISTED","1,000-4,999","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"onsite_storage_74492","2331 23RD AVE, FOREST GROVE, OR 97116"
